Id,PostTypeId,AcceptedAnswerId,CreationDate,Score,ViewCount,OwnerUserId,LastEditorUserId,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ParentId,OwnerDisplayName
63,5,,2013-05-08T21:17:45.093,0,,-1,-1,2013-05-08T21:17:45.093,2013-05-08T21:17:45.093,,,,0,,,
64,4,,2013-05-08T21:17:45.093,0,,37,37,2013-05-09T13:39:54.520,2013-05-09T13:39:54.520,,,,0,,,
65,2,,2013-05-08T21:19:36.247,5,,153,,,2013-05-08T21:19:36.247,,,,0,,9,
66,5,,2013-05-08T21:19:37.143,0,,-1,-1,2013-05-08T21:19:37.143,2013-05-08T21:19:37.143,,,,0,,,
67,4,,2013-05-08T21:19:37.143,0,,-1,-1,2013-05-08T21:19:37.143,2013-05-08T21:19:37.143,,,,0,,,
68,5,,2013-05-08T21:20:10.183,0,,-1,-1,2013-05-08T21:20:10.183,2013-05-08T21:20:10.183,,,,0,,,
69,4,,2013-05-08T21:20:10.183,0,,37,37,2013-05-09T13:38:45.873,2013-05-09T13:38:45.873,,,,0,,,
70,2,,2013-05-08T21:22:04.633,6,,26,,,2013-05-08T21:22:04.633,,,,0,,29,
71,2,,2013-05-08T21:28:38.807,13,,7,,,2013-05-08T21:28:38.807,,,,6,,40,
72,2,,2013-05-08T21:29:08.277,3,,26,,,2013-05-08T21:29:08.277,,,,1,,48,
73,2,,2013-05-08T21:33:01.653,4,,152,613,2013-12-07T23:02:21.257,2013-12-07T23:02:21.257,,,,0,,46,
74,2,,2013-05-08T21:34:14.880,5,,26,90,2017-06-16T02:36:27.833,2017-06-16T02:36:27.833,,,,0,,16,
75,2,,2013-05-08T21:47:41.837,3,,156,,,2013-05-08T21:47:41.837,,,,1,,17,
76,2,,2013-05-08T21:51:25.903,14,,7,,,2013-05-08T21:51:25.903,,,,0,,43,
77,2,,2013-05-08T22:31:36.013,12,,7,,,2013-05-08T22:31:36.013,,,,2,,41,
78,1,,2013-05-08T22:54:01.533,19,383,46,193,2014-01-21T12:00:07.850,2017-04-06T07:37:54.910,Open Data Scorecards?,"government,standards",6,4,5,,
79,2,,2013-05-08T22:58:22.380,8,,169,169,2013-05-09T13:21:42.523,2013-05-09T13:21:42.523,,,,0,,52,
80,2,,2013-05-08T23:13:59.873,17,,18,18,2015-05-07T14:50:16.050,2015-05-07T14:50:16.050,,,,3,,7,
81,2,,2013-05-08T23:36:08.513,10,,18,18,2015-03-24T19:58:10.670,2015-03-24T19:58:10.670,,,,2,,46,
82,5,,2013-05-08T23:39:55.410,0,,-1,-1,2013-05-08T23:39:55.410,2013-05-08T23:39:55.410,,,,0,,,
83,4,,2013-05-08T23:39:55.410,0,,152,152,2013-05-10T22:09:13.240,2013-05-10T22:09:13.240,,,,0,,,
84,1,124,2013-05-08T23:50:51.753,7,135,169,169,2013-05-09T09:48:36.850,2013-10-08T07:55:52.607,Where can I get digital cartographic maps of Brazil?,"brazil,maps,data-request",2,3,1,,
85,1,,2013-05-09T00:07:36.473,5,138,169,70,2015-04-19T14:51:37.443,2015-04-19T14:51:37.443,GPU hardware specifications data?,"data-request,computing",2,0,2,,
88,2,,2013-05-09T00:18:56.873,8,,70,70,2013-05-09T00:35:56.647,2013-05-09T00:35:56.647,,,,3,,52,
89,5,,2013-05-09T00:32:29.083,0,,744,744,2013-06-07T19:05:17.033,2013-06-07T19:05:17.033,,,,0,,,
90,4,,2013-05-09T00:32:29.083,0,,505,505,2014-02-08T04:20:10.793,2014-02-08T04:20:10.793,,,,0,,,
91,2,,2013-05-09T00:43:06.993,5,,70,70,2013-05-09T10:03:04.070,2013-05-09T10:03:04.070,,,,0,,46,
92,1,318,2013-05-09T00:47:48.630,33,22688,133,1511,2014-03-13T20:24:52.343,2017-07-27T21:25:38.033,Good tools to parse repetitive unstructured data,"tool-request,parsing,unstructured-data,programming",11,7,17,,
93,1,114,2013-05-09T00:51:51.927,22,3161,169,754,2015-04-24T08:10:43.067,2016-05-15T14:42:21.707,Graph visualization/analysis tool?,"tool-request,analysis,visualization",11,0,13,,
94,2,,2013-05-09T01:02:52.080,25,,70,-1,2017-04-13T12:44:19.273,2013-08-06T21:57:41.310,,,,1,,93,
95,1,99,2013-05-09T01:08:39.107,10,3538,178,70,2015-03-26T21:52:19.753,2015-04-03T17:13:30.297,What is the most comprehensive resource for querying french and english books having an ISBN code?,"data-request,api-request,books,barcodes",7,0,4,,
96,2,,2013-05-09T01:16:13.330,3,,176,169,2013-05-09T09:10:38.470,2013-05-09T09:10:38.470,,,,0,,11,
97,2,,2013-05-09T01:18:53.827,15,,152,,,2013-05-09T01:18:53.827,,,,2,,92,
98,2,,2013-05-09T01:32:39.730,1,,181,,,2013-05-09T01:32:39.730,,,,2,,92,
99,2,,2013-05-09T01:33:33.580,11,,152,193,2015-04-03T17:13:30.297,2015-04-03T17:13:30.297,,,,6,,95,
100,2,,2013-05-09T01:41:40.477,3,,169,,,2013-05-09T01:41:40.477,,,,0,,95,
101,2,,2013-05-09T01:43:31.237,11,,181,,,2013-05-09T01:43:31.237,,,,1,,93,
102,2,,2013-05-09T01:49:08.233,3,,7,,,2013-05-09T01:49:08.233,,,,2,,95,
103,1,,2013-05-09T01:57:03.220,11,4610,183,1511,2014-03-06T21:21:46.910,2015-08-28T15:40:17.807,Where can I find open data on historical forex rates for financial reporting purposes?,"data-request,finance",6,2,5,,
105,2,,2013-05-09T02:36:15.470,0,,169,,,2013-05-09T02:36:15.470,,,,8,,85,
106,1,197,2013-05-09T02:48:14.267,7,317,190,10235,2016-05-20T12:36:42.527,2016-05-20T12:36:42.527,Data download for Chinese meteorological satellites,"data-request,weather,china",3,5,1,,
107,1,,2013-05-09T03:05:16.273,23,5019,70,6165,2015-04-29T12:49:47.230,2015-10-28T15:42:32.463,How can I download the complete Wikidata database?,"data-request,wikidata,json,rdf",7,8,14,,
108,5,,2013-05-09T03:06:15.560,0,,-1,-1,2013-05-09T03:06:15.560,2013-05-09T03:06:15.560,,,,0,,,
109,4,,2013-05-09T03:06:15.560,0,,37,37,2013-05-10T16:58:20.170,2013-05-10T16:58:20.170,,,,0,,,
110,2,,2013-05-09T03:07:11.143,2,,142,,,2013-05-09T03:07:11.143,,,,0,,92,
111,1,123,2013-05-09T03:43:01.400,9,161,169,754,2016-01-19T11:09:14.743,2016-01-19T11:09:14.743,Is there any world-wide real time catastrophe information system?,"tool-request,real-time,disaster",3,5,5,,
112,1,113,2013-05-09T04:36:26.590,7,143,198,38,2013-05-22T19:03:47.043,2013-05-22T19:03:47.043,"How can I access open data on the Indian rupee value, inflation and sensex index over time?","data-request,economics,india",3,1,1,,
113,2,,2013-05-09T04:52:16.087,7,,169,,,2013-05-09T04:52:16.087,,,,1,,112,
114,2,,2013-05-09T05:16:23.187,9,,160,,,2013-05-09T05:16:23.187,,,,0,,93,
115,1,,2013-05-09T05:40:54.680,33,4126,160,70,2015-04-19T14:18:52.733,2015-04-19T14:18:52.733,Are there any good libraries available for doing normalization of company names?,"tool-request,companies,opencorporates,normalization",7,4,13,,
116,2,,2013-05-09T05:46:37.110,2,,200,,,2013-05-09T05:46:37.110,,,,0,,93,
117,2,,2013-05-09T06:04:57.227,3,,169,,,2013-05-09T06:04:57.227,,,,0,,103,
120,2,,2013-05-09T07:21:55.093,3,,202,,,2013-05-09T07:21:55.093,,,,3,,26,
123,2,,2013-05-09T08:08:38.680,6,,205,169,2013-05-09T09:18:48.153,2013-05-09T09:18:48.153,,,,2,,111,
124,2,,2013-05-09T08:10:11.607,3,,205,,,2013-05-09T08:10:11.607,,,,2,,84,
125,2,,2013-05-09T08:50:15.183,12,,49,208,2014-01-27T19:24:26.100,2014-01-27T19:24:26.100,,,,2,,78,
126,1,,2013-05-09T08:53:56.740,11,105,100,70,2015-01-16T11:19:00.693,2015-01-16T11:19:00.693,Where can I find high-precision cartographic data of French rural areas?,"data-request,geospatial,openstreetmap",1,2,,,
127,1,,2013-05-09T09:00:40.927,24,1932,204,-1,2017-04-13T12:57:29.950,2016-05-07T19:33:39.123,Extracting tables from multiple PDFs,"tool-request,best-practice,extracting,pdf",7,4,10,,
128,2,,2013-05-09T09:05:21.433,4,,183,,,2013-05-09T09:05:21.433,,,,0,,24,
129,2,,2013-05-09T09:17:35.720,2,,169,-1,2017-04-13T12:57:29.950,2013-05-09T09:17:35.720,,,,2,,107,
130,2,,2013-05-09T09:22:42.077,1,,205,,,2013-05-09T09:22:42.077,,,,0,,92,
131,2,,2013-05-09T09:29:05.053,4,,70,,,2013-05-09T09:29:05.053,,,,0,,111,
132,2,,2013-05-09T09:35:08.010,11,,183,,,2013-05-09T09:35:08.010,,,,0,,26,
133,1,136,2013-05-09T09:50:34.613,22,1558,208,208,2016-03-01T17:18:44.550,2016-05-26T04:02:15.397,Tools for merging similar datasets continuously,"tool-request",7,1,9,,
134,2,,2013-05-09T09:58:40.783,6,,70,70,2013-05-09T14:16:19.830,2013-05-09T14:16:19.830,,,,0,,26,
136,2,,2013-05-09T10:15:44.557,11,,70,,,2013-05-09T10:15:44.557,,,,1,,133,
137,2,,2013-05-09T11:35:14.073,14,,211,,,2013-05-09T11:35:14.073,,,,2,,127,
138,2,,2013-05-09T11:44:41.763,4,,18,,,2013-05-09T11:44:41.763,,,,0,,127,
139,2,,2013-05-09T12:49:57.090,5,,41,,,2013-05-09T12:49:57.090,,,,1,,1,
140,2,,2013-05-09T13:13:12.027,7,,178,,,2013-05-09T13:13:12.027,,,,1,,95,
142,2,,2013-05-09T13:22:16.447,5,,183,,,2013-05-09T13:22:16.447,,,,0,,42,
143,1,155,2013-05-09T14:37:50.173,6,3564,102,70,2015-04-01T16:41:56.210,2015-04-01T16:41:56.210,What is the best source for finding what businesses have opened/exist/closed in a given geographical area?,"data-request,usa,government,business",4,0,5,,
144,2,,9/05/2013 14:58,7,,206,206,2016-05-15T14:42:21.707,2016-05-15T14:42:21.707,,,,1,,93,
145,1,149,2013-05-09T15:04:01.417,14,616,160,178,2013-05-09T19:56:02.343,2014-03-05T12:00:42.817,What are the available tools for managing crowdsourced data-cleaning tasks?,"tool-request,crowdsourcing,unstructured-data",3,0,1,,
146,1,,2013-05-09T15:09:51.607,7,131,193,193,2013-05-13T23:35:24.973,2014-03-11T22:06:25.020,Open Data Conflict Resolution,"trust,address",3,8,,,
148,2,,2013-05-09T15:10:17.083,6,,206,,,2013-05-09T15:10:17.083,,,,0,,41,
149,2,,2013-05-09T15:35:10.597,4,,208,,,2013-05-09T15:35:10.597,,,,0,,145,
151,2,,2013-05-09T15:49:08.847,2,,183,,,2013-05-09T15:49:08.847,,,,0,,146,
153,2,,2013-05-09T16:09:33.883,12,,70,,,2013-05-09T16:09:33.883,,,,0,,115,
154,1,180,2013-05-09T16:21:23.980,5,265,168,70,2015-03-30T14:43:38.033,2015-07-10T14:54:26.877,API for information about Brazilian cities/states,"api-request,census,brazil",2,0,,,
155,2,,2013-05-09T16:31:24.967,4,,222,,,2013-05-09T16:31:24.967,,,,1,,143,
156,2,,2013-05-09T16:54:50.143,2,,225,,,2013-05-09T16:54:50.143,,,,0,,29,
157,1,319,2013-05-09T17:14:30.690,24,2293,7,1511,2014-03-12T11:45:23.437,2015-08-17T14:52:09.263,Metadata standards and best practices for data dictionaries for CSV files/data,"csv,standards,metadata,best-practice",12,0,9,,
158,1,,2013-05-09T17:21:19.007,14,626,7,134,2013-05-13T01:28:29.943,2015-11-05T12:31:35.393,Cost of ownership - CKAN for city/local government or small federal agency,"government,tool-request,ckan,data-portal",4,0,3,,
159,5,,2013-05-09T17:23:09.170,0,,-1,-1,2013-05-09T17:23:09.170,2013-05-09T17:23:09.170,,,,0,,,
160,4,,2013-05-09T17:23:09.170,0,,168,70,2013-05-13T02:43:11.313,2013-05-13T02:43:11.313,,,,0,,,
161,2,,2013-05-09T17:26:33.140,5,,117,,,2013-05-09T17:26:33.140,,,,2,,133,
162,2,,2013-05-09T18:10:31.270,1,,215,,,2013-05-09T18:10:31.270,,,,1,,157,
163,2,,2013-05-09T18:32:25.457,1,,228,,,2013-05-09T18:32:25.457,,,,2,,143,
164,2,,2013-05-09T19:06:18.640,6,,130,,,2013-05-09T19:06:18.640,,,,0,,7,
165,1,166,2013-05-09T19:45:56.513,11,1453,215,70,2013-05-09T20:50:31.380,2016-10-05T21:44:23.110,American English SMS Text Message Corpora,"language,corpora,english",2,0,1,,
166,2,,2013-05-09T19:49:25.157,11,,215,215,2013-05-09T20:00:31.230,2013-05-09T20:00:31.230,,,,0,,165,
167,1,173,2013-05-09T20:12:14.450,9,82,102,102,2013-05-10T23:09:15.967,2013-05-10T23:09:15.967,What is the appropriate way to timestamp/determine recency of given data set?,"usa,releasing-data",1,2,1,,
168,2,,2013-05-09T20:24:11.090,7,,231,,,2013-05-09T20:24:11.090,,,,0,,7,
169,2,,2013-05-09T20:27:11.527,1,,43,43,2014-03-05T00:40:07.943,2014-03-05T00:40:07.943,,,,0,,145,
170,2,,2013-05-09T20:43:53.963,2,,231,,,2013-05-09T20:43:53.963,,,,0,,3,
171,1,237,2013-05-09T20:46:59.033,14,284,43,100,2013-05-10T06:38:01.767,2013-05-21T20:04:05.207,What is the best way to request machine readable data from a FOIA request?,"usa,foia,conversion",6,6,5,,
172,2,,2013-05-09T20:49:25.643,6,,231,,,2013-05-09T20:49:25.643,,,,0,,9,
173,2,,2013-05-09T20:52:33.833,6,,41,,,2013-05-09T20:52:33.833,,,,1,,167,
174,1,,2013-05-09T21:14:34.420,3,57,85,85,2013-05-10T19:19:56.143,2013-05-10T20:14:29.420,Non US-centric databases on boards of directors and government agency memberships?,"government,companies",2,0,,,
175,2,,2013-05-09T21:41:33.123,4,,75,,,2013-05-09T21:41:33.123,,,,0,,41,
178,2,,2013-05-10T01:19:54.087,5,,237,,,2013-05-10T01:19:54.087,,,,1,,157,
179,2,,2013-05-10T01:35:19.570,2,,237,,,2013-05-10T01:35:19.570,,,,0,,29,
180,2,,2013-05-10T02:50:13.523,3,,33,3840,2015-07-10T14:54:26.877,2015-07-10T14:54:26.877,,,,0,,154,
181,2,,2013-05-10T02:52:38.553,4,,156,,,2013-05-10T02:52:38.553,,,,4,,174,
182,2,,2013-05-10T04:12:06.507,3,,160,,,2013-05-10T04:12:06.507,,,,0,,143,
183,2,,2013-05-10T04:13:25.443,9,,156,156,2013-05-12T23:06:11.627,2013-05-12T23:06:11.627,,,,0,,115,
184,2,,2013-05-10T05:02:04.183,2,,133,-1,2017-04-13T12:57:29.950,2013-05-10T05:02:04.183,,,,0,,171,
185,2,,2013-05-10T07:08:41.437,2,,215,215,2013-05-10T19:05:45.283,2013-05-10T19:05:45.283,,,,3,,106,
186,1,,2013-05-10T10:26:09.100,5,66,183,70,2015-04-19T14:53:53.290,2015-04-19T14:53:53.290,Where can I find open listings of zipcodes in Indonesia?,"data-request,postal-code,asia",1,0,,,
187,2,,2013-05-10T12:25:09.500,6,,169,,,2013-05-10T12:25:09.500,,,,0,,186,
188,1,194,2013-05-10T13:55:14.470,9,81,102,7,2013-05-10T14:21:49.873,2015-10-18T20:54:04.740,Is there a centralized schedule of data release dates for U.S. federal agencies?,"usa,government,releasing-data,data.gov",1,0,4,,
189,2,,2013-05-10T14:01:13.823,2,,237,,,2013-05-10T14:01:13.823,,,,0,,7,
190,2,,2013-05-10T14:25:03.550,6,,33,,,2013-05-10T14:25:03.550,,,,0,,41,
191,2,,2013-05-10T14:54:13.140,5,,243,,,2013-05-10T14:54:13.140,,,,0,,1,
192,2,,2013-05-10T15:26:30.487,9,,244,244,2013-06-22T00:35:07.783,2013-06-22T00:35:07.783,,,,0,,6,
193,2,,2013-05-10T15:30:13.483,9,,244,,,2013-05-10T15:30:13.483,,,,0,,23,
194,2,,2013-05-10T15:35:49.443,7,,244,8614,2015-10-18T20:54:04.740,2015-10-18T20:54:04.740,,,,0,,188,
195,1,7926,2013-05-10T17:01:20.513,17,3847,146,-1,2017-04-13T12:57:29.950,2017-03-24T11:23:53.440,Is there an open API for world terrain data?,"geospatial,api-request",8,6,3,,
196,2,,2013-05-10T17:32:08.097,10,,102,382,2013-05-21T22:36:20.337,2013-05-21T22:36:20.337,,,,2,,195,
197,2,,2013-05-10T18:59:06.767,7,,204,204,2014-10-25T15:09:25.280,2014-10-25T15:09:25.280,,,,3,,106,
198,2,,2013-05-10T20:14:29.420,1,,18,,,2013-05-10T20:14:29.420,,,,0,,174,
199,1,243,2013-05-10T20:30:20.233,7,2769,139,70,2015-04-19T14:54:05.640,2015-04-19T14:54:05.640,Are there open complete usenet archives?,"data-request,internet",2,0,1,,
200,1,320,2013-05-10T20:33:03.197,10,2325,139,1511,2014-12-04T13:13:07.633,2014-12-04T13:13:07.633,Database of ships?,"data-request,transportation",5,2,3,,
201,1,,2013-05-10T20:35:34.130,5,1382,139,70,2013-06-05T17:30:25.980,2013-06-30T12:56:49.690,Database of fictional characters?,"data-request,names",1,6,1,,
202,2,,2013-05-10T20:36:41.547,3,,250,,,2013-05-10T20:36:41.547,,,,0,,1,
203,2,,2013-05-10T20:40:19.920,6,,250,,,2013-05-10T20:40:19.920,,,,0,,9,
204,2,,2013-05-10T21:21:36.290,4,,46,,,2013-05-10T21:21:36.290,,,,2,,200,
205,5,,2013-05-10T21:34:21.633,0,,-1,-1,2013-05-10T21:34:21.633,2013-05-10T21:34:21.633,,,,0,,,
206,4,,2013-05-10T21:34:21.633,0,,152,152,2013-05-10T21:58:48.013,2013-05-10T21:58:48.013,,,,0,,,
207,5,,2013-05-10T21:37:01.320,0,,-1,-1,2013-05-10T21:37:01.320,2013-05-10T21:37:01.320,,,,0,,,
208,4,,2013-05-10T21:37:01.320,0,,152,152,2013-05-10T21:58:39.327,2013-05-10T21:58:39.327,,,,0,,,
209,5,,2013-05-10T21:39:10.300,0,,-1,-1,2013-05-10T21:39:10.300,2013-05-10T21:39:10.300,,,,0,,,
210,4,,2013-05-10T21:39:10.300,0,,-1,-1,2013-05-10T21:39:10.300,2013-05-10T21:39:10.300,,,,0,,,
211,5,,2013-05-10T21:40:16.100,0,,-1,-1,2013-05-10T21:40:16.100,2013-05-10T21:40:16.100,,,,0,,,
212,4,,2013-05-10T21:40:16.100,0,,-1,-1,2013-05-10T21:40:16.100,2013-05-10T21:40:16.100,,,,0,,,
213,5,,2013-05-10T21:41:00.497,0,,-1,-1,2013-05-10T21:41:00.497,2013-05-10T21:41:00.497,,,,0,,,
214,4,,2013-05-10T21:41:00.497,0,,-1,-1,2013-05-10T21:41:00.497,2013-05-10T21:41:00.497,,,,0,,,
215,5,,2013-05-10T21:43:51.583,0,,-1,-1,2013-05-10T21:43:51.583,2013-05-10T21:43:51.583,,,,0,,,
