Id,CreationDate,DisplayName,LastAccessDate,Views,UpVotes,DownVotes,AccountId
54,1368004705,Maxim Kolchin,1393109015,0,0,0,79113
55,1368004713,AndrewE,1418902991,0,0,0,948085
56,1368004727,Alison R.,1475730379,12,13,0,23784
57,1368004736,duckinator,1368005688,0,0,0,1569715
58,1368004744,kim p,1471277243,0,4,0,2369013
59,1368004751,campeterson,1494829397,0,0,0,242979
61,1368004790,sameers,1476251422,6,3,0,1542322
62,1368004814,thatrailsguy,1368004814,0,0,0,2619419
63,1368004826,noam,1469443323,0,2,0,1946199
64,1368004859,ulkins,1368619471,0,11,1,2619667
65,1368004875,user94154,1490251406,2,18,0,33593
66,1368004905,Nigel,1368004905,1,0,0,216032
67,1368004964,Jaydles,1439271645,0,5,0,140824
68,1368004986,Matt Neznanski,1368006696,0,0,0,2628682
69,1368005063,Brian Levey,1369884674,0,0,0,2208326
70,1368005068,Patrick Hoefler,1503740463,152,294,148,924468
71,1368005096,thebestsophist,1372597861,0,8,0,2742504
72,1368005101,Lisa Williams,1368005101,0,0,0,1165603
73,1368005120,Mark,1447693374,0,0,0,3100
74,1368005139,RLH,1489845700,0,4,0,215000
75,1368005141,myersjustinc,1491207464,3,22,0,424007
77,1368005160,user2317174,1369131778,0,0,0,2681980
78,1368005180,Will Koper,1386146377,0,0,0,1602872
79,1368005200,mixedmath,1474959172,3,13,0,509934
80,1368005222,John Bensin,1380127723,1,9,3,2051749
81,1368005267,Kevin McMahon,1369139765,0,0,0,16937
82,1368005349,Philipp Claßen,1388246781,0,33,0,411202
83,1368005352,maco,1368005352,0,0,0,183517
84,1368005385,samthebrand,1490196156,3,92,2,482412
85,1368005388,Jorge Aranda,1490724211,0,3,0,355280
86,1368005407,dvogel,1472132508,0,7,1,50501
87,1368005417,Piotr Migdal,1503020428,2,32,1,506817
88,1368005479,cap10morgan,1368005479,0,0,0,132852
90,1368005506,albert,1503760394,70,1309,17,173164
91,1368005521,Dirk Eddelbuettel,1370600420,0,0,0,48260
92,1368005533,Steve Spiker,1392040585,1,1,0,2682269
94,1368005565,ryansholin,1369127947,0,0,0,12240
95,1368005581,chrx,1373041538,0,0,0,1931649
96,1368005588,chaserx,1386685410,0,1,0,105603
97,1368005600,novirt,1475151163,0,7,0,2385027
98,1368005612,Chris,1374834263,0,0,0,46717
99,1368005752,mattdennewitz,1369134805,0,0,0,23108
100,1368005793,F'x,1378765124,1,4,1,48307
102,1368006037,batpigandme,1490662877,2,74,0,412231
103,1368006050,ddw,1446612131,0,0,0,1826357
104,1368006051,Jay Guarneri,1368006051,0,1,0,1981914
106,1368006223,Marcus Louie,1411032878,0,0,0,2661519
107,1368006281,Robert Cartaino,1476782483,3,1,8,34933
108,1368006393,bjwebb,1372309107,1,4,0,2742619
111,1368006512,mila_frerichs,1369282318,0,0,0,2058332
112,1368006570,robin girard,1368006570,0,0,0,146757
114,1368006709,Greg Linch,1368680628,0,1,0,76047
115,1368006806,Alastair,1394178749,0,0,0,215596
116,1368006882,kmcurry,1370492247,0,0,0,2650295
117,1368006901,magdmartin,1501508804,21,113,3,1400963
118,1368007004,Ivan Begtin,1463521675,0,1,0,2268025
119,1368007072,Ryan Panchadsaram,1401860208,0,1,0,2392463
121,1368007254,volkan_unsal,1388085497,0,0,0,15504
122,1368007292,Daniel Knell,1379599571,2,6,0,2742701
123,1368007314,stevieflow,1374021969,0,0,0,1064942
124,1368007341,iamamacrae,1400585208,0,3,0,2511940
125,1368007412,Tim Davies,1373363884,0,1,0,2742715
126,1368007482,Maxim Dubinin,1446131978,1,0,0,1316624
127,1368007763,GeoH2O,1402214942,1,34,0,513230
130,1368008244,civilstat,1480088464,0,2,0,2069012
131,1368008319,Jefferson Bailey,1368008319,0,0,0,1397002
133,1368008334,Rebecca Ackerman,1494410609,4,17,1,360407
134,1368008526,natacado,1393963507,1,3,0,30682
136,1368008680,Christopher Armstrong,1368008680,0,0,0,324427
137,1368008768,mlissner,1485459343,0,0,0,25284
138,1368009015,Nick Craver,1379992705,0,0,0,7598
139,1368009182,Danubian Sailor,1394565130,14,88,0,253331
140,1368009656,Dan Ciborowski - MSFT,1464499660,4,23,0,1416173
141,1368009680,Zoot,1375261447,0,11,0,200732
142,1368009758,BigPants,1406737429,2,1,0,207159
143,1368009763,ntett,1393919523,0,0,0,2636045
144,1368009839,Matt Hampel,1465446526,0,17,0,40381
145,1368010074,gcamp,1369513167,0,3,0,38849
146,1368010074,meetar,1490757801,0,11,1,383062
147,1368010097,userJT,1493377019,5,19,2,959950
148,1368010161,Greg,1369629186,0,0,0,166785
149,1368010235,Stevetech,1503396592,1,7,3,1024444
150,1368010548,mdaren,1402460203,0,0,0,2506231
152,1368011150,John,1501528888,11,11,0,126424
153,1368011649,jnatividad,1432784456,7,0,0,2037078
156,1368012389,Andrew Pendleton,1395387866,1,10,0,96122
158,1368012662,Hans Keeler,1368012662,1,0,0,2651095
159,1368012896,Ryan Briones,1369279487,1,1,0,30684
160,1368013074,skyebend,1499422416,2,8,0,1794764
161,1368013191,Konklone,1442175286,5,32,0,8833
162,1368013647,urschrei,1373336184,0,0,0,182136
163,1368013708,SushiCode,1368013708,0,0,0,1348184
164,1368014176,vascowhite,1369728027,0,0,0,74033
165,1368014589,TurtlePowered,1503395504,1,2,0,2317167
166,1368014705,Alex Morega,1394074501,0,0,0,21347
167,1368015287,user784756,1368015287,0,0,0,411962
168,1368015677,Renan,1489105958,0,17,0,1073052
169,1368016901,RSFalcon7,1455527517,6,12,2,1484158
171,1368017629,Name,1374530183,0,0,0,1379325
172,1368018605,Sklivvz,1418073521,0,0,1,4623
173,1368019903,Simon,1484259735,0,1,0,99677
174,1368022017,Kyle Strand,1426130649,0,1,0,2087685
175,1368023092,Gray B.,1431928822,3,47,0,2446415
176,1368023277,lokheart,1501474870,0,1,0,156553
177,1368024139,sckott,1503519033,1,16,0,1098813
178,1368024440,Jalayn,1502988286,5,149,5,463335
179,1368025710,jarz,1370183139,0,0,0,172762
180,1368026328,mezmo,1369388001,0,0,0,118803
181,1368026631,David Medinets,1401159665,3,17,0,76828
182,1368027476,mbrenig,1377020773,0,1,0,139692
183,1368028221,Chris Travers,1490644551,3,10,0,1750416
184,1368028753,Bok McDonagh,1369140383,0,0,0,1839441
185,1368029590,A SPY,1369811363,0,0,0,2640546
186,1368030615,Andrew Grimm,1503699238,2,3,0,17355
187,1368030634,Prakash Neupane,1369244618,0,0,0,992886
188,1368031055,Eric,1481998104,1,11,0,1545009
189,1368031066,Robert Smith,1502109740,1,23,0,209234
190,1368031382,gerrit,1503706128,4,85,0,935589
191,1368031862,Chris Gansen,1489146494,0,1,0,1296318
192,1368031986,jcarbaugh,1390299246,0,0,0,63376
193,1368034344,Ryan Gates,1503333876,2,83,0,113716
194,1368035185,Ryan,1491665344,0,0,0,1856508
195,1368035205,Sisi,1429013236,0,1,0,449985
196,1368036609,schmod,1377264868,0,0,0,133382
198,1368037921,Parag Kulkarni,1487391857,0,4,0,1411583
199,1368037964,Irina  Radchenko,1482148067,0,0,0,2617251
200,1368041991,Manuel Ramón,1413702157,2,0,0,209081
201,1368043971,Ajay Ohri,1494523698,0,0,0,201226
202,1368046709,relet,1371175303,0,9,1,153684
203,1368047827,j.a.estevan,1387145186,1,0,0,69228
204,1368049594,Andy Shu,1446937104,1,10,1,2480214
205,1368049880,Antonio Cunha Santos,1369902616,1,14,0,2117940
206,1368052295,stefankasberger,1463317186,2,13,0,2103204
207,1368052418,Rufus Pollock,1465260376,13,32,2,1780197
208,1368053777,D Read,1503363593,8,40,10,1639615
209,1368058157,Didzis Elferts,1453274549,1,3,0,2084934
210,1368062866,AlainD,1368063797,0,0,0,2191185
211,1368063148,Pam,1439266805,3,0,0,1558750
212,1368064686,Jack Harrison,1393382207,0,6,1,1805174
213,1368069501,pAkY88,1368069501,0,0,0,138326
214,1368070348,Taliesin,1475061701,0,41,0,2218680
215,1368073820,Dan,1490178778,0,48,1,464496
216,1368074839,Tim Post,1427241594,0,1,0,20808
217,1368076583,Derek Eder,1421228094,3,2,0,284002
218,1368077799,Eric Arenson,1397128310,0,1,0,1039624
219,1368078911,Becky,1444752553,1,1,0,362163
220,1368079134,user220,1368079134,0,0,0,2746740
221,1368079797,clickonMe,1368079797,0,0,0,2662723
222,1368080535,Rob Barry,1452492205,2,2,0,1124671
223,1368080838,knowtheory,1467183995,0,1,1,132851
224,1368081181,Undo,1496722894,0,4,0,1703573
225,1368081931,Xilali,1368423243,0,0,0,2746927
226,1368083273,robertharm,1368083273,0,0,0,1078476
227,1368087384,Frederik Spang,1387802664,0,0,0,992923
228,1368087641,jfenton,1373447962,0,2,0,2499630
229,1368088619,Chris Keller,1379593349,0,2,0,270261
230,1368092936,boisvert,1489096955,4,2,0,361917
231,1368094382,Philip Ashlock,1485167495,4,0,0,2747728
232,1368095800,snajmi,1370159170,0,0,0,2677867
233,1368102943,Sophie Raseman,1406201065,19,32,0,970718
234,1368103327,rjmajma,1369296580,0,0,0,2372865
235,1368104350,mdeland,1369139545,0,2,1,910710
236,1368108419,Jonathan Pichot,1403758954,0,0,0,1817488
237,1368111101,Roger_S,1478076624,5,41,0,127664
240,1368134830,Oleg,1501137090,1,3,0,96994
241,1368135696,bendaizer,1445057400,0,8,0,2232292
242,1368136601,RichardAtHome,1369173699,0,0,0,4626
243,1368160884,Glenn Batuyong,1422261227,0,1,0,156945
244,1368163284,Jeanne Holm,1503607250,108,395,0,2460492
245,1368166869,Nathan Storey,1392376110,0,0,0,2751466
246,1368169938,hiirulainen,1502156741,0,0,0,1557875
248,1368171027,Dason,1373556041,0,3,0,509983
249,1368215340,Kim Thompson,1371628701,0,1,0,2294082
250,1368181874,Daniel Schuman,1369801187,0,0,0,2752354
252,1368211512,nihonjinrxs,1376279904,0,0,0,1330303
254,1368283024,JasonBirch,1405629133,0,1,0,34675
255,1368293153,schnippy,1374729784,0,0,0,71602
256,1368293197,jhk,1499988065,0,0,0,1195386
257,1368293597,Marjorie Roswell,1457151960,0,2,0,521911
258,1368293639,Vítor Baptista,1467787865,0,3,0,90044
259,1368294184,Robert Eickmann,1368295100,0,0,0,1174394
260,1368294471,Kaitlin Duck Sherwood,1372924887,0,0,0,1636197
261,1368296909,user468648,1448850668,0,2,0,214587
262,1368298992,Krishnan,1496985603,0,0,0,547592
263,1368303218,Joe,1503454767,73,951,2,48394
264,1368303763,Odi,1460069189,1,0,0,263880
265,1368306879,fixxxer,1386178946,0,0,0,56749
266,1368307282,Marco Montanari,1497383405,0,1,0,59357
267,1368307402,stevevance,1368307402,0,0,0,212203
268,1368312213,alsothings,1432535199,0,0,0,259299
269,1368313634,otfrom,1368313634,0,1,0,48154
270,1368314333,Fraskito,1368314333,0,0,0,1988194
272,1368324596,John Alfaro,1368324596,0,0,0,2548534
273,1368326828,evanrs,1369456131,0,0,0,557441
274,1368327430,Andrew Rohne,1395021727,0,0,0,470278
275,1368328598,cborgia,1369280164,0,1,0,112959
276,1368328861,CaesiumFarmer,1459483007,12,19,1,2677924
277,1368329724,davidm,1494474987,2,1,0,217120
278,1368331600,CountNoobula,1487944125,3,0,0,2757317
279,1368332299,Marcus D. Hanwell,1369205556,0,3,0,48199
280,1368336159,Oluf Lorenzen,1421915234,0,0,0,405884
281,1368336220,Luke,1368608110,0,1,0,486308
282,1368342410,Vlad Lekecinskas,1368342410,0,1,0,1675609
283,1368350913,sandervdwaal,1377231130,0,0,0,2758090
284,1368363915,Asparagirl,1503598892,5,363,1,30574
285,1368365644,bigbash,1381228897,0,0,0,2498576
286,1368377979,TH Schee,1467170950,1,2,0,2485363
287,1368379712,Andrew Janke,1400502163,0,1,0,37073
288,1368381817,nicksuch,1488881522,2,9,0,336121
289,1368382154,Jako,1456120118,0,0,0,398248
290,1368388232,Robert Stewart,1368680820,0,3,0,96220
291,1368393397,KDJ,1368393397,0,0,0,2328271
292,1368395021,Sicco,1501560850,2,74,0,1320321
293,1368398044,FredB,1368398044,0,0,0,2449503
294,1368411325,shevski,1369197353,0,0,0,2760748
295,1368411830,Nick,1415704036,0,74,0,2445801
296,1368412105,Chris M,1369128944,0,0,0,497197
297,1368413575,JBecker,1368413575,0,1,0,503092
298,1368416776,Don,1469090638,0,0,0,37287
299,1368418604,ev-br,1368751384,0,0,0,48388
300,1368421179,Danso,1369383793,0,1,0,2618333
301,1368421253,kinlane,1480081722,0,0,0,332473
302,1368422991,JSchaefer,1475573171,0,12,0,2626
303,1368423025,user303,1368423025,0,0,0,206883
304,1368423608,Sam Lee,1368518039,0,0,0,2711562
305,1368434250,matt wilkie,1450184895,0,2,0,8113
306,1368447482,user306,1368628337,0,0,0,145272
308,1368473638,trapo,1465864457,0,11,0,1440622
309,1368513715,Turukawa,1369278587,0,0,0,112001
310,1368529089,Greg Elin,1369058460,0,0,0,1484258
311,1368531994,joewiz,1475243268,0,0,0,333722
312,1368570654,iant,1502598682,1,29,0,195980
313,1368576291,user313,1368576291,0,0,0,2770696
314,1368598365,Diabulos,1411707271,2,0,0,2772364
315,1368602473,chrismetcalf,1478183877,2,6,1,118797
316,1368605027,J. Heasly,1433417628,1,0,0,116144
317,1368609264,mhulse,1368610215,0,0,0,560173
319,1368676969,Hellboundz,1424088932,0,0,0,318678
322,1368773002,driki,1371273840,1,8,0,1134610
324,1368783570,Chris Taggart,1469180102,6,0,0,2783206
325,1368801665,lippytak,1401685115,0,0,0,230454
326,1368926739,antoniograeff,1496500839,0,0,0,164115
327,1368937206,justgrimes,1409029802,2,0,0,1096935
329,1369029454,Rebecca Williams,1413433293,6,0,0,2786741
331,1369091218,asyvan,1402395736,1,0,0,2795451
333,1369099160,user333,1369130438,0,1,0,2796032
334,1369127227,Anthony Damico,1503716856,17,79,3,1956621
335,1369127287,Ben Balter,1377752983,3,0,0,2798021
336,1369128112,Michael Schnuerle,1369371794,0,0,0,2498560
337,1369128290,billinkc,1477574119,0,0,0,60999
338,1369128342,hakonbogen,1492728926,7,4,1,1072369
339,1369128397,Johan B,1369128397,0,2,0,329089
340,1369128542,ted.strauss,1501844377,1,7,0,87066
341,1369128572,Kirkman14,1369128572,0,0,0,274212
342,1369128636,Adam Friedman,1440920788,0,4,0,321345
343,1369128641,joemurphy,1369729353,0,0,0,12246
344,1369128935,Emil,1369128935,0,0,0,99112
345,1369128955,Veronica Ludwig,1501241745,0,0,0,2798117
346,1369129173,CivicWhitaker,1370429311,2,0,0,1720604
347,1369129209,Tim Bornholtz,1369129209,0,0,0,21732
348,1369129256,chbrown,1468660509,0,1,0,186949
349,1369129485,0xBAADF00D,1374406949,0,0,0,194427
350,1369129701,bluefeet,1502947729,0,1,0,188123
351,1369129837,jcern,1501316434,0,1,0,1745175
352,1369130078,Shaun McDonald,1487908159,0,1,0,35083
353,1369130429,pietercolpaert,1486679819,0,0,0,2273433
354,1369130490,piokuc,1480489734,0,1,0,114428
355,1369131087,Joe,1369131087,0,0,0,282017
356,1369131164,gjreda,1369131164,0,0,0,1519377
357,1369131681,Amelia Greenhall,1369131681,0,0,0,1492608
358,1369132093,Juan-Pablo Velez,1385129170,0,0,0,244948
359,1369132192,Dave Briggs,1369132192,0,0,0,2091735
361,1369132296,cori,1369132296,0,0,0,5153
362,1369132545,user9645,1369723282,0,0,0,1766152
363,1369132759,Osteoboon,1384132370,1,2,0,2126580
364,1369132883,Walker,1369136854,0,0,0,20888
365,1369133324,Douglas S. Stones,1383018647,0,1,0,154358
366,1369133607,Marcelo A,1369133607,0,0,0,136889
367,1369133697,PAC,1491781571,0,2,0,2229535
368,1369133743,shanfu,1372943561,0,0,0,257175
369,1369133941,djq,1450903831,0,3,0,94867
370,1369133974,Bret Fisher,1370927151,0,0,0,390090
371,1369134268,Bani,1369134268,0,0,0,73126
372,1369134464,snim2,1369134464,0,0,0,137834
373,1369134941,foxyNinja7,1369134941,0,0,0,1400678
374,1369134957,ramiro,1490697218,2,22,0,110305
375,1369135168,emasters,1369282165,0,0,0,2618656
376,1369135218,cspruck,1501839571,0,0,0,538328
377,1369135247,Harlan,1443965363,0,0,0,46050
378,1369135385,Karol J. Piczak,1461386926,0,0,0,118036
379,1369135742,cboettig,1456740700,0,19,0,94826
380,1369135745,Gavin Simpson,1459164951,0,5,0,190102
381,1369135862,ffaristocrat,1369135862,0,0,0,1336774
382,1369135948,Pete Warden,1377943014,0,2,0,92011
383,1369136194,user600702,1423244048,0,0,0,296002
384,1369136545,tclarkston,1390915628,0,0,0,458592
386,1369136674,pudo,1409137648,1,2,0,2798525
387,1369136727,DHM,1402529276,0,0,0,2798530
388,1369136911,Stijn,1369136911,0,0,0,510182
389,1369137600,Karsten W.,1496376899,6,222,0,75308
390,1369138081,dominik,1450209885,0,1,0,74873
391,1369138269,Todd,1369138269,0,0,0,198332
392,1369138345,Thomas Owens,1475291553,0,0,0,445
393,1369138351,jonsedar,1369138351,0,0,0,63532
394,1369138772,Momo,1473165646,0,3,0,1157446
395,1369138893,minus34,1446391998,0,0,0,512819
396,1369139235,David Reed,1407415469,0,0,0,2798654
397,1369139307,Quentin Geissmann,1390302810,0,0,0,1211576
398,1369139336,raffazizzi,1369900206,0,0,0,1738821
399,1369139383,dickoa,1493202141,0,0,0,291023
401,1369140001,Jim Hendler,1369301418,2,2,0,2798688
402,1369140345,Alvaro Graves,1385205209,3,3,1,2798701
403,1369140631,Clever Idea Widgetry,1480948596,0,0,0,1005098
404,1369140943,Jeromy Anglim,1492968334,0,5,0,60581
405,1369141360,SchaunW,1372058893,0,0,0,2050899
406,1369142276,trevormunoz,1450776737,3,10,0,1278004
408,1369143062,wdenton,1369143062,0,0,0,455893
411,1369145588,Ivar,1474810091,0,1,0,206924
412,1369145651,Luke,1396239290,0,3,0,80157
413,1369146072,Hank Wang,1369146072,0,0,0,190303
414,1369146211,Felipe Hoffa,1501245036,0,3,0,45023
415,1369147423,lucas,1369495820,0,0,0,184208
416,1369147424,James McKinney,1476686945,4,7,0,88267
417,1369148657,GregD,1502561359,0,14,0,1343767
419,1369150676,TildalWave,1414331854,1,16,0,2211833
420,1369155039,FDSg,1373277170,0,0,0,1102655
421,1369155748,Andrew Cheong,1503099537,2,10,0,886614
422,1369156281,Farrel,1481040612,0,0,0,56132
424,1369158850,atree,1372025726,0,0,0,219275
425,1369159477,Tony Boyles,1497232860,0,0,0,246792
426,1369160149,Steven J Ramirez,1369460855,0,0,0,2799424
428,1369161681,tekhne,1369472981,0,0,0,2600158
430,1369163324,Daniel Schildt,1393037056,0,0,0,10136
431,1369163603,Jonathan,1473841437,0,1,0,2645925
432,1369164017,Lucas A. Meyer,1374476492,0,0,0,1190801
433,1369165033,Vardhan Varma,1369166338,0,0,0,180848
434,1369165347,tomw,1495707881,0,0,0,402950
435,1369166878,MrOoijer,1394965367,0,0,0,2359026
436,1369167027,Juho Vepsäläinen,1369167027,1,0,0,81091
437,1369168568,kt77,1369168568,0,0,0,2799818
438,1369168947,PHPst,1500490185,4,4,0,391761
439,1369169482,D_Guidi,1369169482,0,0,0,6649
440,1369169907,user440,1370107961,1,0,0,1140672
441,1369171156,Jindřich Mynarz,1489089552,1,4,0,163392
442,1369171661,F. Tusell,1477775224,0,3,0,183174
444,1369171930,gregor,1369171930,0,0,0,1281540
445,1369172186,Miroslav Sabo,1493804060,0,0,0,1914477
446,1369172572,Jaap,1468318612,0,0,0,2531385
447,1369174118,robintw,1455965442,0,0,0,1433
448,1369174492,Apostle,1369174492,0,0,0,1434764
449,1369175266,lajarre,1369175266,0,2,0,893289
450,1369175612,nunolopes,1459215833,0,0,0,256061
451,1369175892,paxRoman,1478735095,0,3,0,1399518
453,1369177825,giohappy,1448702934,8,2,0,193240
454,1369178322,Chani,1372809770,0,0,0,252355
455,1369178373,Guido Preite,1370167042,1,0,0,2521117
456,1369179295,l0b0,1409353118,0,3,0,34241
457,1369179750,rcs,1472340894,0,0,0,57496
458,1369180097,Deer Hunter,1459217653,10,165,35,1816341
459,1369181241,David Coallier,1369183981,1,0,0,235572
460,1369182202,Zouppen,1369182202,0,0,0,242891
461,1369183590,Ari B. Friedman,1430435237,8,18,0,319081
462,1369185649,svick,1498712977,7,20,0,18071
463,1369186328,psychometriko,1457599052,0,0,0,1285280
464,1369186392,Niels Keurentjes,1369614807,0,1,0,1917636
466,1369188128,cartd,1369188128,0,0,0,2801134
467,1369189258,Wayne,1369189258,0,0,0,300266
468,1369190749,psam,1467189113,0,0,0,70999
469,1369190781,Jens Erat,1369190781,0,1,0,733521
470,1369191040,Borislav Sabev,1476677362,0,1,0,447023
471,1369191216,wonea,1375827122,0,0,0,100647
472,1369192120,rmflight,1369192120,0,0,0,371066
473,1369192663,Dave Jacoby,1470910131,0,0,0,56139
474,1369192924,Chris W. Rea,1447812678,0,2,0,30864
475,1369194327,shorty,1458815150,0,0,0,2498351
478,1369196712,Laura,1414661478,0,0,0,463263
479,1369197374,Aidan Black,1374060313,0,0,0,5179
480,1369199764,Caleb,1369199764,0,0,0,2802128
481,1369200940,ghost_king,1369200940,0,0,0,1790080
482,1369201164,Martha Garvey,1429612959,0,0,0,2798481
483,1369201280,whisky CHANG,1484481506,0,0,0,2802262
484,1369201808,boblannon,1441950671,0,1,0,1334284
485,1369202612,fpp,1394235778,5,4,0,2302303
486,1369204748,Mark,1392776271,0,0,0,1775645
487,1369205258,coltraneofmars,1488608544,1,0,0,224571
488,1369205477,Edd Wilder-James,1369205477,0,0,0,1242230
489,1369205641,dan,1370927898,1,0,0,1725635
490,1369205864,user490,1369205864,0,0,0,2802563
491,1369206575,twneale,1369206575,0,1,0,41612
492,1369206935,Mark,1370334239,0,0,0,423508
493,1369208146,gwatson,1481631976,0,0,0,1442051
494,1369208506,Mortimer,1369208506,0,1,0,307017
497,1369211960,David Z,1493446596,0,0,0,22779
498,1369212277,codeadventurer,1369212277,0,0,0,1936702
500,1369216406,user500,1369278317,0,0,0,2803250
501,1369217004,sye,1462983126,0,0,0,215811
502,1369218401,Adam Becker,1370007264,0,0,0,460721
503,1369221139,johnny,1389401107,0,0,0,511377
504,1369221665,Imran Ghory,1391402514,0,0,0,2761102
505,1369222215,Tasos,1503734072,49,338,3,2671878
506,1369229864,manuzhang,1397506429,0,0,0,416952
507,1369230189,Jerry Hall,1410078866,1,1,0,2493976
508,1369230422,schmooster,1369230422,0,0,0,2505569
509,1369231014,Megan Squire,1488523180,14,5,0,1996182
510,1369231829,World Engineer,1407846389,0,0,0,407160
511,1369233106,Fr.,1483680991,0,9,0,318524
512,1369239853,Kenyon Crowley,1402473191,0,0,0,2686993
513,1369243746,Matthew Hosking,1369243746,1,0,0,2685924
514,1369243783,Seamus Abshere,1369243783,0,0,0,118870
515,1369248002,balalakshmi,1369248002,0,0,0,33688
516,1369248375,chenaren,1369248375,0,0,0,449975
517,1369249353,Extreme Coders,1372138345,0,0,0,2055869
518,1369253118,Matthias,1472409682,0,0,0,1292873
519,1369253323,Satish V,1369363090,0,0,0,1991768
520,1369258559,TubbsMcKraken,1406137579,0,0,0,2805146
521,1369261864,redoc,1471222109,0,0,0,384156
523,1369265289,TRiG,1492571532,0,4,0,72444
524,1369266858,ekaitzht,1484703995,0,0,0,1104774
525,1369268530,Pascal,1369268530,0,0,0,1305390
526,1369269071,ntrax,1466630731,0,0,0,2594530
527,1369269383,SF.,1490147572,2,2,0,90733
528,1369272052,GreyCloud,1369806943,0,0,0,170516
529,1369273671,Armand,1477038447,0,2,0,103812
530,1369274301,EnergyNumbers,1492641729,2,6,1,339125
531,1369274555,Lakshmana Kumar,1369274555,0,0,0,1427394
532,1369274856,stefanw,1462420475,0,0,0,39654
533,1369276006,amercader,1502751154,1,7,0,84409
534,1369276316,Edgemaster,1369276316,0,0,0,55627
535,1369277649,Ian Dickinson,1369277649,2,0,0,4461
536,1369277781,David C,1369277781,1,0,0,2806521
538,1369279237,user659250,1369279237,0,0,0,333401
539,1369279334,Stéphane Guidoin,1374244530,0,0,0,2285361
540,1369280519,KennyPeanuts,1444351430,0,0,0,350536
541,1369281875,Breyten,1406174399,1,0,0,312304
542,1369283045,Rob Myers,1369283045,0,5,0,966575
543,1369283868,Glenn Clatworthy,1374471721,0,0,0,2807043
544,1369285216,slifty,1424157835,0,0,0,53368
545,1369285379,Tom Morris,1500462667,7,23,3,55879
546,1369285406,Mike,1389070181,0,0,0,173610
547,1369285483,user26015,1369285483,0,0,0,2807180
548,1369287469,pconcepcion,1469667562,0,10,0,279279
549,1369287545,Gaurav Agarwal,1387407445,0,0,0,1323303
550,1369287646,ldodds,1499656509,7,11,0,192870
551,1369287807,amelvin,1495595102,2,8,0,96301
552,1369289248,TyB,1369289248,0,0,0,1381387
553,1369289647,Brandon Galbraith,1487154369,4,1,0,279554
554,1369290084,Zach Beauvais,1369290084,0,0,0,2085280
